no,vcc,vbat,temp
0,4.81,3.60,22.50
1,4.83,3.61,22.50
2,4.83,3.62,22.50
3,4.81,3.60,22.50
4,4.81,3.60,22.50
5,4.83,3.60,22.50
6,4.83,3.61,22.50
7,4.81,3.62,22.50
8,4.81,3.62,22.50
9,4.83,3.61,22.50
10,4.81,3.63,22.50
11,4.83,3.60,22.50
12,4.81,3.62,22.50
13,4.83,3.61,22.50
14,4.81,3.62,22.50
15,4.83,3.60,22.50
16,4.81,3.61,22.50
17,4.83,3.59,22.50
18,4.83,3.62,22.50
19,4.83,3.60,22.50
20,4.81,3.60,23.00
21,4.81,3.62,23.00
22,4.83,3.60,23.00
23,4.83,3.60,23.00
24,4.83,3.61,23.00
25,4.81,3.62,23.00
26,4.81,3.60,23.00
27,4.83,3.59,23.00
28,4.83,3.60,23.00
29,4.81,3.59,23.00
30,4.81,3.60,23.00
31,4.83,3.60,23.00
32,4.81,3.60,23.00
33,4.81,3.60,23.00
34,4.81,3.60,23.00
35,4.81,3.58,23.00
36,4.81,3.59,23.00
37,4.83,3.60,23.00
38,4.81,3.59,23.00
39,4.81,3.59,23.00
40,4.81,3.58,23.00
41,4.83,3.60,23.00
42,4.81,3.58,23.00
43,4.81,3.58,23.00
44,4.81,3.59,23.00
45,4.83,3.60,23.00
46,4.83,3.58,23.00
47,4.83,3.59,23.00
48,4.81,3.58,23.00
49,4.81,3.58,23.00
50,4.83,3.57,23.00
51,4.83,3.60,23.00
52,4.83,3.47,23.00
53,4.83,3.44,23.00
54,4.83,3.41,23.00
55,4.83,3.41,23.00
56,4.83,3.46,23.00
57,4.77,3.45,23.00
58,4.81,3.36,23.00
59,4.81,3.41,23.00
60,4.81,3.45,23.00
61,4.79,3.40,23.00
62,4.79,3.35,23.00
63,4.77,3.44,23.00
64,4.77,3.44,23.00
65,4.81,3.44,23.00
66,4.81,3.44,23.00
67,4.79,3.44,23.00
68,4.79,3.44,23.00
69,4.77,3.46,23.00
70,4.81,3.45,23.00
71,4.77,3.46,23.00
72,4.79,3.45,23.00
73,4.77,3.44,23.00
74,4.81,3.43,23.00
75,4.77,3.46,23.00
76,4.81,3.43,23.00
77,4.77,3.46,23.00
78,4.79,3.42,23.00
79,4.81,3.42,23.00
80,4.81,3.44,23.00
81,4.81,3.44,23.00
82,4.79,3.39,23.00
83,4.81,3.50,23.00
84,4.81,3.48,23.00
85,4.81,3.49,23.00
86,4.83,3.49,23.00
87,4.81,3.51,23.00
88,4.81,3.50,23.00
89,4.81,3.51,23.00
90,4.81,3.49,23.00
91,4.81,3.48,23.00
92,4.81,3.48,23.00
93,4.83,3.48,23.00
94,4.83,3.48,23.00
95,4.81,3.49,23.00
96,4.83,3.45,23.00
97,4.83,3.43,23.00
98,4.83,3.48,23.00
99,4.83,3.48,23.00
100,4.83,3.45,23.00
101,4.83,3.44,23.00
102,4.81,3.45,23.00
103,4.83,3.44,23.00
104,4.83,3.44,23.00
105,4.83,3.45,23.00
106,4.81,3.46,23.00
107,4.81,3.44,23.00
108,4.83,3.45,23.00
109,4.83,3.46,23.00
110,4.83,3.45,23.00
111,4.83,3.44,23.00
112,4.83,3.45,23.00
113,4.83,3.48,23.00
114,4.83,3.49,22.50
115,4.81,3.46,22.50
116,4.83,3.45,22.50
117,4.83,3.44,22.50
118,4.81,3.46,22.50
119,4.83,3.45,22.50
120,4.81,3.45,22.50
121,4.83,3.44,22.50
122,4.83,3.44,22.50
123,4.81,3.44,22.50
124,4.83,3.45,22.50
125,4.81,3.45,22.50
126,4.81,3.46,22.50
127,4.83,3.46,22.50
128,4.83,3.44,22.50
129,4.81,3.47,22.50
130,4.83,3.47,22.50
131,4.81,3.44,22.50
132,4.81,3.46,22.50
133,4.81,3.46,22.50
134,4.81,3.46,22.50
135,4.81,3.48,22.50
136,4.81,3.46,22.50
137,4.83,3.46,22.50
138,4.81,3.49,22.50
139,4.81,3.46,22.50
140,4.81,3.46,22.50
141,4.81,3.45,22.50
142,4.81,3.44,22.50
143,4.81,3.47,22.50
144,4.83,3.46,22.50
145,4.81,3.44,22.50
146,4.81,3.46,22.50
147,4.83,3.47,22.50
148,4.83,3.48,22.50
149,4.83,3.44,22.50
150,4.81,3.44,22.50
151,4.81,3.46,22.50
152,4.81,3.44,22.50
153,4.81,3.45,22.50
154,4.81,3.47,22.50
155,4.81,3.45,22.50
156,4.83,3.46,22.50
157,4.83,3.47,22.50
158,4.81,3.44,22.50
159,4.81,3.45,22.50
160,4.83,3.45,22.50
161,4.81,3.44,22.50
162,4.81,3.44,22.50
163,4.83,3.44,22.50
164,4.81,3.45,22.50
165,4.83,3.44,22.50
166,4.83,3.44,22.50
167,4.83,3.44,22.50
168,4.81,3.45,22.50
169,4.83,3.46,22.50
170,4.81,3.45,22.50
171,4.83,3.44,22.50
172,4.81,3.43,22.50
173,4.81,3.44,22.50
174,4.83,3.46,22.50
175,4.83,3.43,22.50
176,4.83,3.43,22.50
177,4.83,3.43,22.50
178,4.81,3.43,22.50
179,4.83,3.44,22.50
180,4.83,3.45,22.50
181,4.83,3.43,22.50
182,4.83,3.45,22.50
183,4.81,3.43,22.50
184,4.81,3.44,22.50
185,4.81,3.43,22.50
186,4.81,3.42,22.50
187,4.81,3.43,22.50
188,4.83,3.44,22.50
189,4.81,3.44,22.50
190,4.83,3.42,22.50
191,4.83,3.22,22.50
192,4.81,3.28,22.50
193,4.81,3.27,22.50
194,4.83,3.30,22.50
195,4.81,3.33,22.00
196,4.83,3.34,22.50
197,4.81,3.30,22.00
198,4.81,3.30,22.00
199,4.83,3.29,22.50
200,4.83,3.29,22.50
201,4.83,3.28,22.50
202,4.83,3.29,22.50
203,4.83,3.29,22.50
204,4.81,3.30,22.00
205,4.81,3.29,22.00
206,4.83,3.31,22.50
207,4.83,3.31,22.50
208,4.83,3.29,22.00
209,4.81,3.30,22.50
210,4.81,3.28,22.00
211,4.81,3.28,22.50
212,4.81,3.28,22.00
213,4.81,3.30,22.00
214,4.83,3.28,22.50
215,4.83,3.29,22.00
216,4.83,3.30,22.00
217,4.83,3.30,22.00
218,4.81,3.29,22.00
219,4.83,3.29,22.00
220,4.81,3.29,22.00
221,4.81,3.30,22.00
222,4.81,3.30,22.00
223,4.81,3.28,22.00
224,4.81,3.28,22.00
225,4.83,3.28,22.00
226,4.83,3.28,22.00
227,4.83,3.30,22.00
228,4.81,3.29,22.00
229,4.81,3.30,22.00
230,4.81,3.27,22.00
231,4.81,3.28,22.00
232,4.83,3.30,22.00
233,4.83,3.29,22.00
234,4.83,3.29,22.00
235,4.81,3.29,22.00
236,4.81,3.28,22.00
237,4.83,3.31,22.00
238,4.83,3.29,22.00
239,4.83,3.30,22.00
240,4.83,3.31,22.00
241,4.81,3.30,22.00
242,4.83,3.29,22.00
243,4.81,3.28,22.00
244,4.81,3.30,22.00
245,4.81,3.28,22.00
246,4.81,3.30,22.00
247,4.83,3.28,22.00
248,4.83,3.28,22.00
249,4.81,3.28,22.00
250,4.81,3.30,22.00
251,4.83,3.28,22.00
252,4.83,3.30,22.00
253,4.83,3.28,22.00
254,4.83,3.28,22.00
255,4.81,3.28,22.00
256,4.83,3.29,22.00
257,4.83,3.29,22.00
258,4.83,3.28,22.00
259,4.81,3.28,22.00
260,4.81,3.28,22.00
261,4.81,3.28,22.00
262,4.81,3.29,22.00
263,4.81,3.30,22.00
264,4.83,3.27,22.00
265,4.83,3.30,22.00
266,4.83,3.29,22.00
267,4.83,3.28,22.00
268,4.83,3.30,22.00
269,4.81,3.30,22.00
270,4.83,3.28,22.00
271,4.83,3.28,22.00
272,4.81,3.28,22.00
273,4.83,3.30,22.00
274,4.83,3.29,22.00
275,4.83,3.28,22.00
276,4.83,3.28,22.00
277,4.83,3.28,22.00
278,4.83,3.27,22.00
279,4.81,3.29,22.00
280,4.83,3.27,22.00
281,4.81,3.27,22.00
282,4.81,3.28,22.00
283,4.83,3.27,22.00
284,4.81,3.29,22.00
285,4.81,3.26,22.00
286,4.83,3.27,22.00
287,4.83,3.28,22.00
288,4.81,3.28,22.00
289,4.83,3.28,22.00
290,4.83,3.27,22.00
291,4.83,3.27,22.00
292,4.81,3.26,22.00
293,4.83,3.28,22.00
294,4.83,3.26,22.00
295,4.83,3.27,22.00
296,4.81,3.26,22.00
297,4.83,3.27,22.00
298,4.81,3.28,22.00
299,4.81,3.28,22.00
300,4.81,3.26,22.00
301,4.83,3.28,22.00
302,4.81,3.27,22.00
303,4.83,3.27,22.00
304,4.81,3.27,22.00
305,4.83,3.25,22.00
306,4.81,3.26,22.00
307,4.83,3.25,22.00
308,4.81,3.28,22.00
309,4.81,3.26,22.00
310,4.81,3.28,22.00
311,4.83,3.25,22.00
312,4.83,3.27,22.00
313,4.83,3.27,22.00
314,4.81,3.27,22.00
315,4.81,3.26,22.00
316,4.83,3.25,22.00
317,4.81,3.26,22.00
318,4.81,3.26,22.00
319,4.81,3.25,22.00
320,4.81,3.25,22.00
321,4.83,3.25,22.00
322,4.81,3.25,22.00
323,4.81,3.26,22.00
324,4.81,3.26,22.00
325,4.81,3.26,22.00
326,4.81,3.27,22.00
327,4.81,3.25,22.00
328,4.83,3.25,22.00
329,4.83,3.25,22.00
330,4.83,3.25,22.00
331,4.83,3.27,22.00
332,4.83,3.23,22.00
333,4.81,3.24,22.00
334,4.83,3.24,22.00
335,4.83,3.25,22.00
336,4.83,3.25,22.00
337,4.81,3.25,22.00
338,4.81,3.25,22.00
339,4.81,3.27,22.00
340,4.83,3.27,22.00
341,4.81,3.25,22.00
342,4.83,3.26,22.00
343,4.83,3.27,22.00
344,4.81,3.25,22.00
345,4.83,3.25,22.00
346,4.81,3.25,22.00
347,4.81,3.27,22.00
348,4.81,3.27,22.00
349,4.83,3.25,22.00
350,4.81,3.25,22.50
351,4.83,3.27,22.00
352,4.81,3.25,22.00
353,4.83,3.25,22.00
354,4.81,3.27,22.00
355,4.83,3.25,22.00
356,4.83,3.26,22.00
357,4.83,3.25,22.00
358,4.83,3.25,22.50
359,4.81,3.25,22.50
360,4.83,3.25,22.50
361,4.81,3.27,22.50
362,4.83,3.25,22.50
363,4.83,3.25,22.50
364,4.83,3.26,22.50
365,4.81,3.25,22.50
366,4.81,3.25,22.50
367,4.83,3.24,22.50
368,4.83,3.25,22.50
369,4.83,3.25,22.50
370,4.83,3.24,22.50
371,4.81,3.25,22.50
372,4.81,3.25,22.50
373,4.81,3.24,22.50
374,4.81,3.25,22.50
375,4.83,3.25,22.50
376,4.83,3.25,22.50
377,4.81,3.25,22.50
378,4.81,3.26,22.50
379,4.83,3.25,22.50
380,4.81,3.25,22.50
381,4.81,3.25,22.50
382,4.83,3.25,22.50
383,4.83,3.23,22.50
384,4.83,3.23,22.50
385,4.83,3.25,22.50
386,4.81,3.24,22.50
387,4.81,3.24,22.50
388,4.81,3.24,22.50
389,4.83,3.23,22.50
390,4.83,3.10,22.50
391,4.79,3.17,22.50
392,4.77,3.33,22.50
393,4.79,3.34,22.50
394,4.81,3.33,22.50
395,4.79,3.35,22.50
396,4.77,3.34,22.50
397,4.79,3.32,22.50
398,4.81,3.35,22.00
399,4.77,3.33,22.50
400,4.77,3.32,22.00
401,4.81,3.31,22.00
402,4.81,3.33,22.50
403,4.77,3.30,22.00
404,4.79,3.32,22.00
405,4.77,3.32,22.00
406,4.79,3.33,22.00
407,4.79,3.32,22.00
408,4.81,3.31,22.00
409,4.81,3.30,22.00
410,4.81,3.32,22.00
411,4.77,3.30,22.00
412,4.81,3.30,22.00
413,4.79,3.32,22.00
414,4.81,3.32,22.00
415,4.79,3.32,22.00
416,4.79,3.31,22.00
417,4.79,3.31,22.00
418,4.79,3.30,22.00
419,4.77,3.31,22.00
420,4.81,3.30,22.00
421,4.81,3.30,22.00
422,4.77,3.29,22.00
423,4.79,3.30,22.00
424,4.77,3.29,22.00
425,4.79,3.28,22.00
426,4.77,3.29,22.00
427,4.77,3.29,22.00
428,4.79,3.28,22.00
429,4.81,3.30,22.00
430,4.79,3.28,22.00
431,4.77,3.28,22.00
432,4.81,3.29,22.00
433,4.79,3.29,22.00
434,4.79,3.28,22.00
435,4.81,3.31,22.00
436,4.79,3.29,22.00
437,4.81,3.30,22.00
438,4.77,3.29,22.00
439,4.77,3.30,22.00
440,4.81,3.31,22.00
441,4.77,3.30,22.00
442,4.77,3.29,22.00
443,4.77,3.30,22.00
444,4.81,3.29,22.00
445,4.81,3.30,22.00
446,4.81,3.28,22.00
447,4.79,3.28,22.00
448,4.81,3.30,22.00
449,4.77,3.29,22.00
450,4.79,3.28,22.00
451,4.77,3.29,22.00
452,4.77,3.30,22.00
453,4.79,3.28,22.00
454,4.77,3.30,22.00
455,4.77,3.30,22.00
456,4.79,3.28,22.00
457,4.79,3.28,22.00
458,4.81,3.30,22.00
459,4.81,3.29,22.00
460,4.81,3.28,22.00
461,4.77,3.28,22.00
462,4.77,3.29,22.00
463,4.81,3.30,22.00
464,4.79,3.27,22.00
465,4.77,3.29,22.00
466,4.81,3.28,22.00
467,4.81,3.28,22.00
468,4.79,3.26,22.00
469,4.77,3.27,22.00
470,4.77,3.28,22.00
471,4.81,3.28,22.00
472,4.79,3.27,22.00
473,4.77,3.28,22.00
474,4.79,3.26,22.00
475,4.81,3.27,22.00
476,4.77,3.26,22.00
477,4.77,3.27,22.00
478,4.81,3.27,22.00
479,4.79,3.25,22.00
480,4.81,3.27,22.00
481,4.79,3.25,22.00
482,4.77,3.25,22.00
483,4.81,3.27,22.00
484,4.81,3.27,22.00
485,4.81,3.26,22.00
486,4.81,3.27,22.00
487,4.79,3.26,22.00
488,4.81,3.27,22.00
489,4.79,3.25,22.00
490,4.81,3.25,22.00
491,4.81,3.25,22.00
492,4.79,3.26,22.00
493,4.79,3.24,22.00
494,4.77,3.27,22.00
495,4.79,3.24,22.00
496,4.77,3.25,22.00
497,4.77,3.27,22.00
498,4.79,3.26,22.00
499,4.79,3.25,22.00
500,4.81,3.25,22.00
501,4.79,3.25,22.00
502,4.81,3.25,22.00
503,4.77,3.26,22.00
504,4.79,3.25,22.00
505,4.79,3.26,22.00
506,4.81,3.23,22.00
507,4.79,3.23,22.00
508,4.77,3.23,22.00
509,4.81,3.24,22.00
510,4.77,3.25,22.00
511,4.77,3.23,22.00
512,4.77,3.23,22.00
513,4.81,3.23,22.00
514,4.81,3.23,22.00
515,4.81,3.23,22.00
516,4.81,3.23,22.00
517,4.79,3.25,22.00
518,4.77,3.24,22.00
519,4.77,3.24,22.00
520,4.77,3.25,22.00
521,4.79,3.23,22.00
522,4.81,3.23,22.00
523,4.77,3.23,22.00
524,4.81,3.23,22.00
525,4.81,3.24,22.00
526,4.77,3.22,22.00
527,4.79,3.23,22.00
528,4.81,3.23,22.00
529,4.77,3.22,22.00
530,4.81,3.23,22.00
531,4.77,3.23,22.00
532,4.77,3.24,22.00
533,4.79,3.23,22.00
534,4.81,3.23,22.00
535,4.77,3.22,22.00
536,4.81,3.23,22.00
537,4.81,3.23,22.00
538,4.81,3.22,22.00
539,4.79,3.22,22.00
540,4.81,3.23,22.00
541,4.81,3.22,22.00
542,4.79,3.21,22.00
543,4.77,3.21,22.00
544,4.79,3.21,22.00
545,4.77,3.21,22.00
546,4.81,3.22,22.00
547,4.77,3.21,22.00
548,4.77,3.21,22.00
549,4.81,3.22,22.00
550,4.77,3.21,22.00
551,4.77,3.21,22.00
552,4.79,3.21,22.00
553,4.77,3.20,22.00
554,4.77,3.20,22.00
555,4.81,3.21,22.00
556,4.81,3.20,22.00
557,4.77,3.20,22.00
558,4.81,3.20,22.00
559,4.77,3.19,22.00
560,4.77,3.20,22.00
561,4.81,3.20,22.00
562,4.81,3.19,22.00
563,4.81,3.19,22.00
564,4.77,3.20,22.00
565,4.81,3.19,22.00
566,4.81,3.19,22.00
567,4.81,3.18,22.00
568,4.77,3.18,22.00
569,4.81,3.19,22.00
570,4.79,3.20,22.00
571,4.79,3.18,22.00
572,4.79,3.20,22.00
573,4.77,3.20,22.00
574,4.81,3.17,22.00
575,4.77,3.17,22.00
576,4.79,3.17,21.50
577,4.77,3.18,22.00
578,4.81,3.17,21.50
579,4.81,3.17,21.50
580,4.81,3.17,22.00
581,4.81,3.17,22.00
582,4.77,3.18,22.00
583,4.79,3.16,22.00
584,4.81,3.16,22.00
585,4.77,3.17,22.00
586,4.79,3.16,21.50
587,4.77,3.16,22.00
588,4.77,3.15,22.00
589,4.81,3.15,22.00
590,4.79,3.14,21.50
591,4.79,3.14,22.00
592,4.79,3.14,22.00
593,4.77,3.16,21.50
594,4.81,3.14,22.00
595,4.81,3.14,22.00
596,4.77,3.15,21.50
597,4.77,3.15,21.50
598,4.77,3.15,22.00
599,4.81,3.15,22.00
600,4.79,3.13,21.50
601,4.79,3.14,21.50
602,4.81,3.14,21.50
603,4.81,3.12,22.00
604,4.79,3.12,21.50
605,4.77,3.13,21.50
606,4.79,3.11,21.50
607,4.77,3.11,21.50
608,4.79,3.12,21.50
609,4.79,3.11,21.50
610,4.81,3.11,21.50
611,4.79,3.10,21.50
612,4.81,3.09,22.00
613,4.81,3.10,21.50
614,4.79,3.09,21.50
615,4.79,3.09,21.50
616,4.77,3.09,21.50
617,4.77,3.10,21.50
618,4.81,3.10,22.00
619,4.77,3.07,21.50
620,4.79,3.08,21.50
621,4.81,3.07,21.50
622,4.77,3.09,21.50
623,4.79,3.06,21.50
624,4.81,3.06,21.50
625,4.79,3.06,21.50
626,4.77,3.06,21.50
627,4.81,3.05,21.50
628,4.79,3.05,22.00
629,4.81,3.04,21.50
630,4.79,3.05,21.50
631,4.79,3.04,21.50
632,4.77,3.06,21.50
633,4.79,3.03,21.50
634,4.81,3.04,21.50
635,4.79,3.03,21.50
636,4.83,3.02,21.50
637,4.77,3.03,21.50
638,4.77,3.01,21.50
639,4.77,3.02,21.50
640,4.77,3.02,21.50
641,4.81,3.00,21.50
642,4.81,2.99,21.50
643,4.79,2.99,21.50
644,4.81,3.00,21.50
645,4.81,2.99,21.50
646,4.79,2.99,21.50
647,4.81,2.97,21.50
648,4.81,2.99,21.50
649,4.81,2.96,21.50
650,4.77,2.96,21.50
651,4.77,2.95,21.50
652,4.79,2.95,21.50
653,4.79,2.96,21.50
654,4.81,2.94,21.50
655,4.81,2.95,21.50
656,4.77,2.93,21.50
657,4.81,2.92,21.50
658,4.77,2.92,21.50
659,4.81,2.92,21.50
660,4.77,2.91,21.50
661,4.79,2.90,21.50
662,4.83,2.91,21.50
663,4.77,2.89,21.50
664,4.77,2.88,21.50
665,4.81,2.87,21.50
666,4.79,2.88,21.50
667,4.81,2.88,21.50
668,4.79,2.87,21.50
669,4.81,2.84,21.50
670,4.81,2.84,21.50
671,4.77,2.83,21.50
672,4.77,2.82,21.50
673,4.77,2.81,21.50
674,4.81,2.81,21.50
675,4.83,2.80,21.50
676,4.81,2.79,21.50
677,4.81,2.79,21.50
678,4.77,2.76,21.50
679,4.83,2.76,21.50
680,4.77,2.75,21.50
681,4.79,2.74,21.50
682,4.77,2.74,21.50
683,4.77,2.72,21.50
684,4.77,2.70,21.50
685,4.81,2.68,21.50
686,4.77,2.69,21.50
687,4.13,2.69,22.00
688,3.78,2.67,21.50
689,3.47,2.67,21.50
690,3.20,2.67,21.50
0,2.98,2.67,21.50
1,2.79,2.67,21.50
